Team Number,Match,AC1T,AC1,AC2T,AC2,AC3T,AC3,AC4T,AC4,AARL,AARH,AAP,AAB,AM,TC1T,TC1,TC2T,TC2,TC3T,TC3,TC4T,TC4,TARL,TARH,TAP,TAB,EP,Auton Coral L 1,Auton Coral L 2,Auton Coral L3,Auton Coral L 4,Auton Algae Process,Auton Algae Barge,Auton Points,Teleop Coral L 1,Teleop Coral L2,Teleop Coral L3,Teleop Coral L4,Teleop Algae Barged,Teleop Algae Processed,Teleop Algae Barged HP,Parked Endgame,Teleop Points,% L1,% L2,% L3,% L4,Points Total,Deep Climb,Shallow Climb,Breaking,Auton Coral L1 Rate,Auton Coral L2 Rate,Auton Coral L3 Rate,Auton Coral L4 Rate,Defense,Teleop Coral L1 Rate,Teleop Coral L2 Rate,Teleop Coral L3 Rate,Teleop Coral L4 Rate,Auton Algae Removed,Algae Teleop Removed,Total Auton Coral Success,Total Teleop Coral Sucess,Algae Capability,Auton Coral Attempt,Teleop Coral Attempt
8122,36,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,1,1,0,0,3,3,FALSE,FALSE,0,0,0,3,0,0,0,25,0,0,0,6,31,18%,0%,0%,82%,34,1,0,0,50%,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,56%,0,2,1,5,3,2,9
8836,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,2,2,0%,0%,0%,0%,2,0,0,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
3277,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,3,1,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,6,4,5,0,0,0,2,17,0%,33%,17%,50%,17,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,100%,100%,33%,0,0,FALSE,4,0,0,6
2861,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,1,0,0,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,8,15,0,0,0,6,29,0%,0%,33%,67%,29,1,0,0,FALSE,FALSE,FALSE,0%,0,FALSE,FALSE,100%,100%,0,1,0,5,2,1,5
2143,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,2,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,3,4,10,0,0,0,0,17,0%,20%,20%,60%,17,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,100%,100%,67%,0,0,FALSE,4,0,0,5
3197,37,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,1,5,5,7,6,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,3,20,30,0,0,0,0,53,13%,6%,31%,50%,53,0,0,0,FALSE,FALSE,FALSE,0%,0,0%,100%,100%,86%,1,0,0,12,0,1,15
2847,37,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,3,4,4,5,4,0,0,0,0,3,FALSE,FALSE,FALSE,7,0,0,7,0,9,16,20,0,0,0,6,51,0%,29%,29%,43%,58,1,0,0,FALSE,FALSE,FALSE,100%,0,FALSE,75%,100%,80%,0,0,1,11,0,1,13
3100,37,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,8,3,FALSE,FALSE,FALSE,0,0,4,4,0,0,0,0,32,0,0,6,38,0%,0%,0%,0%,42,1,0,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,1,3,FALSE,FALSE,3,0,0
3267,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
7028,37,0,0,0,0,0,0,3,2,0,0,0,0,1,6,4,0,0,0,0,5,4,0,0,0,0,3,FALSE,FALSE,FALSE,14,0,0,14,8,0,0,20,0,0,0,6,34,43%,0%,0%,57%,48,1,0,0,FALSE,FALSE,FALSE,67%,0,67%,FALSE,FALSE,80%,0,0,2,8,0,3,11
3293,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,0,0,1,1,0,1,0,0,FALSE,FALSE,0,0,0,0,0,9,20,0,4,0,0,0,33,11%,33%,56%,0%,33,0,0,0,0%,FALSE,FALSE,FALSE,0,FALSE,100%,100%,FALSE,0,2,0,8,3,1,8
4011,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,2,2,0%,0%,0%,0%,2,0,0,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
3206,38,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,1,3,FALSE,FALSE,0,0,0,3,4,0,0,0,0,6,0,2,12,100%,0%,0%,0%,15,0,0,0,100%,FALSE,FALSE,FALSE,0,100%,FALSE,FALSE,FALSE,0,0,1,2,0,1,2
10490,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,3,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,4,0,0,0,0,0,4,0%,0%,50%,50%,4,0,0,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,100%,0%,0,5,FALSE,1,3,0,2
